Account,Level,Account Name,Account Title,Standard Cost Equation?,Optional Variable,Optional Value,Sec Optional Variable,Sec Optional Value,Fixed Cost ($),Unit Cost,Unit Cost (units),Scaling Variable,Scaling Variable Ref Value,Units,Exponent,Dollar Year,Type,Source,Ref,Link,Notes,FOAK to NOAK Multiplier Type,Fixed Cost Low End,Fixed Cost High End,Fixed Cost Distribution,Unit Cost Low End,Unit Cost High End,Unit Cost Distribution,Exponent std,Exponent Max,Exponent Min,Exponent Distribution
211.2,3,Stripping Topsoil,                  Stripping Topsoil,standard,,,,,,3411.716,$/acres,Land Area,,acres,,2024,Lab and Equip,,,,,Onsite Learning,0,0,Lognormal,3070.5443999999998,4435.2308,Lognormal,0.1,1,0,Truncated Normal
211.3,3,Excavation,                  Excavation,standard,,,,,,32.004,$/m^3,Excavation Volume,,m^3,,2024,Lab and Equip,,,,,Onsite Learning,0,0,Lognormal,28.8036,41.605199999999996,Lognormal,0.1,1,0,Truncated Normal
212,2,Reactor Island Civil Structures,            Reactor Island Civil Structures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212.1,3,Reactor Building Slab Roof,                  Reactor Building Slab Roof,standard,,,,,,1836,$/m^3,Reactor Building Slab Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
Nuclear Multiplier have been applied to adjust the costs for nuclear-site-related work","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,Onsite Learning,0,0,Lognormal,1652.4,2386.8,Lognormal,0.1,1,0,Truncated Normal
212.2,3,Reactor Building Basement,                  Reactor Building Basement,standard,,,,,,1444.167,$/m^3,Reactor Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,1299.7503,1877.4171,Lognormal,0.1,1,0,Truncated Normal
212.3,3,Reactor Building Walls,                  Reactor Building Walls,standard,,,,,,1103.4513000000002,$/m^3,Reactor Building Exterior Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,993.1061700000001,1434.4866900000002,Lognormal,0.1,1,0,Truncated Normal
212.4,3,Reactor Building Liner,                  Reactor Building Liner,standard,,,,,,6491.926704363597,$/m^2,Reactor Building Superstructure Area,9373,m^2,1,2018,Lab and Mat and Equip,"Stewart W.R., Shirvan K., ""Capital cost estimation for advanced nuclear power plants,"" Renewable and Sustainable Energy Reviews, Nov. 2021, 111880","Stewart W.R., Shirvan K., ""Capital cost estimation for advanced nuclear power plants,"" Renewable and Sustainable Energy Reviews, Nov. 2021, 111880",https://doi.org/10.1016/j.rser.2021.111880,,Onsite Learning,0,0,Lognormal,5842.734033927238,8439.504715672676,Lognormal,0.1,1,0,Truncated Normal
212.5,3,Reactor Building HVAC,                  Reactor Building HVAC,standard,,,,,,1731.9189347380743,$/MWt,Power MWt,3417,MWt,0.8,2018,Lab and Mat and Equip,"Stewart W.R., Shirvan K., ""Capital cost estimation for advanced nuclear power plants,"" Renewable and Sustainable Energy Reviews, Nov. 2021, 111880","Stewart W.R., Shirvan K., ""Capital cost estimation for advanced nuclear power plants,"" Renewable and Sustainable Energy Reviews, Nov. 2021, 111880",https://doi.org/10.1016/j.rser.2021.111880,,Onsite Learning,0,0,Lognormal,1558.727041264267,2251.494615159497,Lognormal,0.1,1,0,Truncated Normal
213,2,Main Function Buildings,            Main Function Buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.1,3,Energy conversion Building,                  Energy conversion Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.11,4,Energy Conversion Building Slab Roof,                        Energy Conversion Building Slab Roof,standard,,,,,,1200,$/m^3,Turbine Building Slab Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,Onsite Learning,0,0,Lognormal,1080,1560,Lognormal,0.1,1,0,Truncated Normal
213.12,4,Energy Conversion Building Basement,                        Energy Conversion Building Basement,standard,,,,,,943.9,$/m^3,Turbine Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,849.51,1227.07,Lognormal,0.1,1,0,Truncated Normal
213.13,4,Energy Conversion Building Walls,                        Energy Conversion Building Walls,standard,,,,,,721.21,$/m^3,Turbine Building Exterior Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,649.089,937.5730000000001,Lognormal,0.1,1,0,Truncated Normal
213.2,3,Control building,                  Control building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.21,4,Control Building Slab Roof,                        Control Building Slab Roof,standard,,,,,,1200,$/m^3,Control Building Slab Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,Onsite Learning,0,0,Lognormal,1080,1560,Lognormal,0.1,1,0,Truncated Normal
213.22,4,Control Building Basement,                        Control Building Basement,standard,,,,,,943.9,$/m^3,Control Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,849.51,1227.07,Lognormal,0.1,1,0,Truncated Normal
213.23,4,Control Building Walls,                        Control Building Walls,standard,,,,,,721.21,$/m^3,Control Building Exterior Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,649.089,937.5730000000001,Lognormal,0.1,1,0,Truncated Normal
213.3,3,Integrated Heat Exchanger Building,                  Integrated Heat Exchanger Building,,reactor type,GCMR,,,,,,,,,,,,,,,,,,,,,,,,,,
213.31,4,Integrated Heat Exchanger Building Slab Roof,                        Integrated Heat Exchanger Building Slab Roof,standard,reactor type,GCMR,,,,1200,$/m^3,Integrated Heat Exchanger Building Slab Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,Onsite Learning,0,0,Lognormal,1080,1560,Lognormal,0.1,1,0,Truncated Normal
213.32,4,Integrated Heat Exchanger Building Basement,                        Integrated Heat Exchanger Building Basement,standard,reactor type,GCMR,,,,943.9,$/m^3,Integrated Heat Exchanger Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,849.51,1227.07,Lognormal,0.1,1,0,Truncated Normal
213.33,4,Integrated Heat Exchanger Building Walls,                        Integrated Heat Exchanger Building Walls,standard,reactor type,GCMR,,,,721.21,$/m^3,Integrated Heat Exchanger Building Exterior Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,649.089,937.5730000000001,Lognormal,0.1,1,0,Truncated Normal
213.34,4,Integrated Heat Exchanger Building Liner,                        Integrated Heat Exchanger Building Liner,standard,reactor type,GCMR,,,,6491.926704363597,$/m^2,Integrated Heat Exchanger Building Superstructure Area,9373,m^2,1,2018,Lab and Mat and Equip,"Stewart W.R., Shirvan K., ""Capital cost estimation for advanced nuclear power plants,"" Renewable and Sustainable Energy Reviews, Nov. 2021, 111880","Stewart W.R., Shirvan K., ""Capital cost estimation for advanced nuclear power plants,"" Renewable and Sustainable Energy Reviews, Nov. 2021, 111880",https://doi.org/10.1016/j.rser.2021.111880,,Onsite Learning,0,0,Lognormal,5842.734033927238,8439.504715672676,Lognormal,0.1,1,0,Truncated Normal
214,2,Buildings to Support Main Function ,            Buildings to Support Main Function ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.1,3,Fuel Management Buildings,                  Fuel Management Buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.11,4,Refueling Building,                        Refueling Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.111,5,Refueling Building Slab Roof,                              Refueling Building Slab Roof,standard,,,,,,1836,$/m^3,Refueling Building Slab Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
Nuclear Multiplier have been applied to adjust the costs for nuclear-site-related work","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,Onsite Learning,0,0,,1652.4,2386.8,Lognormal,0.1,1,0,Truncated Normal
214.112,5,Refueling Building Basement,                              Refueling Building Basement,standard,,,,,,1444.167,$/m^3,Refueling Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,1299.7503,1877.4171,Lognormal,0.1,1,0,Truncated Normal
214.113,5,Refueling Building Walls,                              Refueling Building Walls,standard,,,,,,1103.4513000000002,$/m^3,Refueling Building Exterior Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,993.1061700000001,1434.4866900000002,Lognormal,0.1,1,0,Truncated Normal
214.12,4,Spent Fuel Building,                        Spent Fuel Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.121,5,Spent Fuel Building Slab Roof,                              Spent Fuel Building Slab Roof,standard,,,,,,1836,$/m^3,Spent Fuel Building Slab Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
Nuclear Multiplier have been applied to adjust the costs for nuclear-site-related work","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,Onsite Learning,0,0,Lognormal,1652.4,2386.8,Lognormal,0.1,1,0,Truncated Normal
214.122,5,Spent Fuel Building Basement,                              Spent Fuel Building Basement,standard,,,,,,1444.167,$/m^3,Spent Fuel Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,1299.7503,1877.4171,Lognormal,0.1,1,0,Truncated Normal
214.123,5,Spent Fuel Building Walls,                              Spent Fuel Building Walls,standard,,,,,,1103.4513000000002,$/m^3,Spent Fuel Building Exterior Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,993.1061700000001,1434.4866900000002,Lognormal,0.1,1,0,Truncated Normal
214.7,3,Emergency and Start-up Power Systems Building,                  Emergency and Start-up Power Systems Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.71,4,Emergency Building,                        Emergency Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.711,5,Emergency Building Slab Roof,                              Emergency Building Slab Roof,standard,,,,,,1200,$/m^3,Emergency Building Slab Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,Onsite Learning,0,0,Lognormal,1080,1560,Lognormal,0.1,1,0,Truncated Normal
214.712,5,Emergency Building Basement,                              Emergency Building Basement,standard,,,,,,943.9,$/m^3,Emergency Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,849.51,1227.07,Lognormal,0.1,1,0,Truncated Normal
214.713,5,Emergency Building Walls,                              Emergency Building Walls,standard,,,,,,721.21,$/m^3,Emergency Building Exterior Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,649.089,937.5730000000001,Lognormal,0.1,1,0,Truncated Normal
214.72,4,Diesel Generator,                        Diesel Generator,standard,,,,,,2717311.56626506,$/MWt,Power MWt,0.083,MWt,0.7,2024,Equipment,"MARVEL (for the cost of the diesel generator) 

The exponent is based on the work by Koruoush considering cost scaling from nuclear ad non nuclear power plants. When using the power as scaling variable, the exponent ranges between 0..6 and 0.8 so 0.7 is used here","Hanna, B. N., Gonzaga de Oliveira, R. G., Mohammad Al Dawood, K. A., Patterson, M. D., Abou Jaoude, A., & Garcia, S. (2024). Technoeconomic Evaluation of Microreactor Using Detailed Bottom-up Estimate (No. INL/RPT-24-80433-Rev000). Idaho National Laboratory (INL), Idaho Falls, ID (United States).

Stewart, W. R., & Shirvan, K. (2022). Capital cost estimation for advanced nuclear power plants. Renewable and Sustainable Energy Reviews, 155, 111880.","https://inldigitallibrary.inl.gov/sites/sti/sti/Sort_129862.pdf

https://www.sciencedirect.com/science/article/pii/S1364032121011473",,Factory Other,0,0,Lognormal,2445580.4096385543,3532505.0361445784,Lognormal,0.1,1,0,Truncated Normal
214.8,3,Auxilliary Building,                  Auxilliary Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.81,4,Maniplator Building,                        Maniplator Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.811,5,Manipulator Building Slab Roof,                              Manipulator Building Slab Roof,standard,,,,,,1200,$/m^3,Manipulator Building Slab Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",Added a custom building for GCMR based on CAD drawing,Onsite Learning,0,0,Lognormal,1080,1560,Lognormal,0.1,1,0,Truncated Normal
214.812,5,ManipulatorBuilding Basement,                              ManipulatorBuilding Basement,standard,,,,,,943.9,$/m^3,Manipulator Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,849.51,1227.07,Lognormal,0.1,1,0,Truncated Normal
214.813,5,Manipulator Building Exterior Walls,                              Manipulator Building Exterior Walls,standard,,,,,,721.21,$/m^3,Manipulator Building Exterior Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,649.089,937.5730000000001,Lognormal,0.1,1,0,Truncated Normal
215,2,Supply Chain Buildings,            Supply Chain Buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215.1,3,Storage Building,                  Storage Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215.11,4,Storage Building Slab Roof,                        Storage Building Slab Roof,standard,,,,,,1200,$/m^3,Storage Building Slab Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,Onsite Learning,0,0,Lognormal,1080,1560,Lognormal,0.1,1,0,Truncated Normal
215.12,4,Storage Building Basement,                        Storage Building Basement,standard,,,,,,943.9,$/m^3,Storage Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,849.51,1227.07,Lognormal,0.1,1,0,Truncated Normal
215.13,4,Storage Building Walls,                        Storage Building Walls,standard,,,,,,721.21,$/m^3,Storage Building Exterior Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,649.089,937.5730000000001,Lognormal,0.1,1,0,Truncated Normal
215.4,3,Radwaste Building,                  Radwaste Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215.41,4,Radwaste Building Slab Roof,                        Radwaste Building Slab Roof,standard,,,,,,1836,$/m^3,Radwaste Building Slab Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
Nuclear Multiplier have been applied to adjust the costs for nuclear-site-related work","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,Onsite Learning,0,0,Lognormal,1652.4,2386.8,Lognormal,0.1,1,0,Truncated Normal
215.42,4,Radwaste Building Basement,                        Radwaste Building Basement,standard,,,,,,1444.167,$/m^3,Radwaste Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,1299.7503,1877.4171,Lognormal,0.1,1,0,Truncated Normal
215.43,4,Radwaste Building Walls,                        Radwaste Building Walls,standard,,,,,,1103.4513000000002,$/m^3,Radwaste Building Exterior Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,Onsite Learning,0,0,Lognormal,993.1061700000001,1434.4866900000002,Lognormal,0.1,1,0,Truncated Normal
22,1,Reactor System,      Reactor System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,2,Reactor Components,            Reactor Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.1,3,Reactor Vessel and Accessories,                  Reactor Vessel and Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.11,4,Reactor Support,                        Reactor Support,standard,,,,,,311.5579893747446,$/Kg,Total Vessels Mass,2447,Kg,0.85,2018,Lab and Mat and Equip,PWR12-ME,,,Unit cost is the cost of support structure divided by the cost of guard vessel plus PCS,Factory Primary Structure,0,0,Lognormal,280.4021904372701,405.02538618716795,Lognormal,0.1,1,0,Truncated Normal
221.12,4,Outer Vessel Structure,                        Outer Vessel Structure,standard,Guard Vessel Material,stainless_steel,,,,757.2076874606175,$/Kg,Guard Vessel Mass,1587,Kg,,2017,Lab and Mat and Equip,"Ganda et al., 2018","Ganda, F., Hoffman, E., Taiwo, T. A., Kim, T. K., & Hansen, J. (2019). Report on the ACCERT cost algorithms tool (No. ANL/NSE-19/10). Argonne National Lab.(ANL), Argonne, IL (United States).",,,Factory Primary Structure,0,0,Lognormal,681.4869187145558,984.3699936988028,Lognormal,0.1,1,0,Truncated Normal
221.12,4,Outer Vessel Structure,                        Outer Vessel Structure,standard,Guard Vessel Material,low_alloy_steel,,,,154.08,$/Kg,Guard Vessel Mass,,,,2017,Lab and Mat and Equip,"Ganda et al., 2018",,,,Factory Primary Structure,0,0,Lognormal,138.67200000000003,200.30400000000003,Lognormal,0.1,1,0,Truncated Normal
221.12,4,Outer Vessel Structure,                        Outer Vessel Structure,standard,Guard Vessel Material,incoloy,,,,444.08,$/Kg,Guard Vessel Mass,,,,2017,Lab and Mat and Equip,"Ganda et al., 2018",,,,Factory Primary Structure,0,0,Lognormal,399.67199999999997,577.304,Lognormal,0.1,1,0,Truncated Normal
221.13,4,Inner Vessel Structure,                        Inner Vessel Structure,standard,Vessel Material,stainless_steel,,,3369444.6,1768.3558139534885,$/Kg,Vessel Mass,860,,,2017,Lab and Mat and Equip,"Ganda et al., 2018",,,Unit cost if the PCS cost (in MARVEL) divided by the PCS mass in MARVEL,Factory Primary Structure,3032500.14,5054166.9,Lognormal,1591.5202325581397,2298.862558139535,Lognormal,0.1,1,0,Truncated Normal
221.13,4,Inner Vessel Structure,                        Inner Vessel Structure,standard,Vessel Material,low_alloy_steel,,,,154.08,$/Kg,Vessel Mass,,,,2017,Lab and Mat and Equip,"Ganda et al., 2018",,,,Factory Primary Structure,0,0,Lognormal,138.67200000000003,200.30400000000003,Lognormal,0.1,1,0,Truncated Normal
221.13,4,Inner Vessel Structure,                        Inner Vessel Structure,standard,Vessel Material,incoloy,,,,444.08,$/Kg,Vessel Mass,,,,2017,Lab and Mat and Equip,"Ganda et al., 2018",,,,Factory Primary Structure,0,0,Lognormal,399.67199999999997,577.304,Lognormal,0.1,1,0,Truncated Normal
221.2,3,Reactor Control Devices,                  Reactor Control Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.21,4,Reactivity Control System ,                        Reactivity Control System ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.211,5,Reactivity Control System Fabrication,                              Reactivity Control System Fabrication,standard,,,,,,347890,$/Drum,Drum Count,,,,2024,Lab and Mat and Equip,MARVEL Project ,Updated MARVEL Cost Estimate + Communication with MARVEL Team,"Gerstner, D., & Arafat, Y. (2023). MARVEL 90% Final Design Report (No. INL/RPT-23-74280-Rev000). Idaho National Laboratory (INL), Idaho Falls, ID (United States).

Hanna, B. N., Gonzaga de Oliveira, R. G., Mohammad Al Dawood, K. A., Patterson, M. D., Abou Jaoude, A., & Garcia, S. (2024). Technoeconomic Evaluation of Microreactor Using Detailed Bottom-up Estimate (No. INL/RPT-24-80433-Rev000). Idaho National Laboratory (INL), Idaho Falls, ID (United States).",The scaling variable here is the total mass of all the control drums,Factory Drums,0,0,Lognormal,313101,452257,Lognormal,0.1,1,0,Truncated Normal
221.212,5,Installation,                              Installation,standard,,,,,,80665.75,$/Drum,Drum Count,,,,2024,Lab and Equip,MARVEL Project ,,,,Factory Drums,0,0,Lognormal,72599.175,104865.475,Lognormal,0.1,1,0,Truncated Normal
221.213,5,Control Drums Materials (Absorber),                              Control Drums Materials (Absorber),standard,Control Drum Absorber,B4C_natural,,,,14285.714285714286,$/Kg,Control Drum Absorber Mass,28,Kg,1,2024,Material,MARVEL Project ,,,,Factory Other,0,0,Lognormal,12857.142857142859,18571.428571428572,Lognormal,0.1,1,0,Truncated Normal
221.213,5,Control Drums Materials (Absorber),                              Control Drums Materials (Absorber),standard,Control Drum Absorber,B4C_enriched,,,,10064,$/Kg,Control Drum Absorber Mass,,,,2023,Material,"Prosser et al., 2023",,,,Factory Other,0,0,Lognormal,9057.6,13083.2,Lognormal,0.1,1,0,Truncated Normal
221.214,5,Control Drums Materials (Reflector),                              Control Drums Materials (Reflector),standard,Control Drum Reflector,BeO,,,,10062.893081761007,$/Kg,Control Drum Reflector Mass,318,Kg,1,2024,Material,MARVEL Project ,,,,Factory BeO,0,0,Lognormal,9056.603773584906,13081.761006289309,Lognormal,0.1,1,0,Truncated Normal
